station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41080,47th-South Elevated,3/1/2001,1256.6,891.2,458.8,33936
40130,51st,3/1/2001,1164.2,740.2,441,31078
40510,Garfield-South Elevated,3/1/2001,752.5,503.6,326.5,20378
41140,King Drive,3/1/2001,717.3,426.4,238.5,18867
40720,East 63rd-Cottage Grove,3/1/2001,1433.1,732,514,37244
40940,Halsted/63rd,3/1/2001,784.8,497.2,299.8,20951
40290,Ashland/63rd,3/1/2001,1765.5,964.4,650,46262
41290,Kimball,3/1/2001,4149.5,2284.8,1252.8,107725
41180,Kedzie-Brown,3/1/2001,1541.8,980,605.3,41240
40870,Francisco,3/1/2001,1097.6,520.6,253.5,27765
41010,Rockwell,3/1/2001,1278.4,563.6,289.8,32102
41480,Western-Brown,3/1/2001,3327.5,1820,1016,86368
40090,Damen-Brown,3/1/2001,2089.1,1104.2,578.5,53796
41500,Montrose-Brown,3/1/2001,2028.5,1008.6,535,51809
41460,Irving Park-Brown,3/1/2001,2342.7,1078.4,520.8,59014
41440,Addison-Brown,3/1/2001,1830.4,781,295.8,45357
41310,Paulina,3/1/2001,2066.7,1128.2,559,53344
40360,Southport,3/1/2001,2645.5,1241.8,576.5,66715
41210,Wellington,3/1/2001,2433.6,891.4,388.5,59551
40530,Diversey,3/1/2001,4339.3,2197.6,980.5,110374
40660,Armitage,3/1/2001,3450.1,1228.2,525,84143
40800,Sedgwick,3/1/2001,2186,987.8,485.8,54975
40710,Chicago/Franklin,3/1/2001,4013.6,1614.6,650,98973
40460,Merchandise Mart,3/1/2001,6056.1,1120,385.3,140376
40930,Midway Airport,3/1/2001,8005.1,2963.6,2427,200638
40960,Pulaski-Orange,3/1/2001,5353,1426.4,720.8,127780
41150,Kedzie-Midway,3/1/2001,3016.1,1222.8,648.8,75063
40310,Western-Orange,3/1/2001,3367,1083,598,81880
